Count,Title,Release Date,Team,Team1,Team2,Rating,Number of Reviews,Genres,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Summary,Plays,Playing,Backlogs,Wishlist,Team Count
10,Persona 5 Royal,2019-10-31,"['Atlus USA', 'Atlus']",Atlus USA, Atlus,4.4,2700,"['Adventure', 'RPG', 'Turn-Based-Strategy']",Adventure,RPG,Turn-Based-Strategy,Not applicable,Not applicable,Not applicable,an enhanced version of persona 5 with some new characters and a third semester added to the game released internationally in 2020,12000,2300,5100,3000,2
11,Stray,2022-07-19,"['BlueTwelve Studio', 'Annapurna Interactive']",BlueTwelve Studio, Annapurna Interactive,3.7,1500,"['Adventure', 'Indie']",Adventure,Indie,Not applicable,Not applicable,Not applicable,Not applicable,lost alone and separated from family a stray cat must untangle an ancient mystery to escape a longforgotten cybercity and find the way home,7700,801,2500,3400,2
12,God of War,2018-04-20,"['Sony Interactive Entertainment', 'SIE Santa Monica Studio']",Sony Interactive Entertainment, SIE Santa Monica Studio,4.2,2900,"['Adventure', 'Brawler', 'RPG']",Adventure,Brawler,RPG,Not applicable,Not applicable,Not applicable,god of war is the sequel to god of war iii as well as a continuation of the canon god of war chronology unlike previous installments this game focuses on norse mythology and follows an older and more seasoned kratos and his son atreus in the years since the third game it is in this harsh unforgiving world that he must fight to survive… and teach his son to do the same,21000,1100,4800,2600,2
13,Portal 2,2011-04-18,"['Valve', 'Electronic Arts']",Valve, Electronic Arts,4.4,2900,"['Adventure', 'Platform', 'Puzzle', 'Shooter']",Adventure,Platform,Puzzle,Shooter,Not applicable,Not applicable,sequel to the acclaimed portal 2007 portal 2 pits the protagonist of the original game chell and her new robot friend wheatley against more puzzles conceived by glados an ai with the sole purpose of testing the portal guns mechanics and taking revenge on chell for the events of portal as a result of several interactions and revelations chell once again pushes to escape aperture science labs,29000,471,3900,1200,2
14,Bloodborne,2015-03-24,"['FromSoftware', 'Sony Computer Entertainment']",FromSoftware, Sony Computer Entertainment,4.5,3400,"['Adventure', 'RPG']",Adventure,RPG,Not applicable,Not applicable,Not applicable,Not applicable,an action rpg in which the player embodies a hunter who after being transfused with the mysterious blood local to the city of yharnam sets off into a night of the hunt an extended night in which hunters may phase in and out of dream and reality in order to thin the outbreak of abominable beasts that plague the land and for the more resilient and insightful hunters uncover the answers to the hunts many mysteries,17000,1100,5600,3300,2
15,Celeste,2018-01-25,"['Extremely OK Games', 'Maddy Makes Games']",Extremely OK Games, Maddy Makes Games,4.2,2800,"['Adventure', 'Indie', 'Platform']",Adventure,Indie,Platform,Not applicable,Not applicable,Not applicable,help madeline survive her inner demons on her journey to the top of celeste mountain in this supertight platformer from the creators of towerfall brave hundreds of handcrafted challenges uncover devious secrets and piece together the mystery of the mountain,20000,1200,5900,2000,2
16,Yakuza 0,2015-03-12,"['Ryū Ga Gotoku Studios', 'Sega']",Ryū Ga Gotoku Studios, Sega,4.4,2700,"['Adventure', 'Brawler', 'RPG', 'Simulator']",Adventure,Brawler,RPG,Simulator,Not applicable,Not applicable,the glitz glamour and unbridled decadence of the 80s are back yakuza 0 is a prequel set in 1988 to the yakuza series taking place before the first game fight like hell through tokyo and osaka with protagonist kazuma kiryu and series regular goro majima play as kazuma kiryu and discover how he finds himself in a world of trouble when a simple debt collection goes wrong and his mark winds up murdered then step into the silvertoed shoes of goro majima and explore his “normal” life as the proprietor of a cabaret club,15000,1800,6400,2000,2
17,Red Dead Redemption 2,2018-10-26,"['Take-Two Interactive', 'Rockstar Games']",Take-Two Interactive, Rockstar Games,4.4,2900,"['Adventure', 'RPG', 'Shooter']",Adventure,RPG,Shooter,Not applicable,Not applicable,Not applicable,red dead redemption 2 is the epic tale of outlaw arthur morgan and the infamous van der linde gang on the run across america at the dawn of the modern age,19000,1700,5500,2900,2
18,Portal,2007-10-10,"['Valve', 'Electronic Arts']",Valve, Electronic Arts,4.1,2000,"['Platform', 'Puzzle', 'Shooter']",Platform,Puzzle,Shooter,Not applicable,Not applicable,Not applicable,waking up in a seemingly empty laboratory the player is made to complete various physicsbased puzzle challenges through numerous test chambers in order to test out the new aperture science handheld portal device without an explanation as to how why or by whom,28000,244,2700,1100,2
19,Super Mario Odyssey,2017-10-27,['Nintendo'],Nintendo,Not applicable,4.2,2900,"['Adventure', 'Platform']",Adventure,Platform,Not applicable,Not applicable,Not applicable,Not applicable,explore incredible places far from the mushroom kingdom as you join mario and his new ally cappy on a massive globetrotting 3d adventure use amazing new abilities like the power to capture and control objects animals and enemies to collect power moons so you can power up the odyssey airship and save princess peach from bowser’s wedding plans,25000,710,2900,2000,1
20,Pokémon Legends: Arceus,2022-01-28,"['Nintendo', 'Game Freak']",Nintendo, Game Freak,3.7,1600,"['Adventure', 'RPG', 'Turn-Based-Strategy']",Adventure,RPG,Turn-Based-Strategy,Not applicable,Not applicable,Not applicable,"the pokémon legends arceus game honors past pokémon games’ core gameplay while infusing new action and rpg elements
you’ll need to catch survey and research wild pokémon in a longgone era of the sinnoh region to create and complete the region’s first pokédex",9100,1600,2500,2100,2
21,Hi-Fi Rush,2023-01-25,"['Tango Gameworks', 'Bethesda Softworks']",Tango Gameworks, Bethesda Softworks,4.3,926,"['Adventure', 'Brawler', 'Music', 'Platform']",Adventure,Brawler,Music,Platform,Not applicable,Not applicable,as wannabe rockstar chai you’ll fight back against a sinister robotics enhancement conglomerate using rhythmamplified combat where everything – from the motion in the environment to the blows of combat – is synced to the music,3000,866,1500,2000,2
22,Metal Gear Rising: Revengeance,2013-02-19,"['Konami', 'PlatinumGames']",Konami, PlatinumGames,4.1,2100,"['Adventure', 'Brawler', 'Shooter', 'Strategy']",Adventure,Brawler,Shooter,Strategy,Not applicable,Not applicable,"developed by kojima productions and platinumgames metal gear rising revengeance takes the renowned metal gear franchise into exciting new territory with an allnew action experience the game seamlessly melds pure action and epic storytelling that surrounds raiden – a child soldier transformed into a halfhuman halfcyborg ninja who uses his high frequency katana blade to cut through any thing that stands in his vengeful path
a huge success on both xbox 360 and playstation3 metal gear rising revengeance comes to pc with all the famed moves and action running within a beautifullyrealized hd environment
this new pc version includes all three dlc missions blade wolf jetstream and vr missions in addition to all customized body upgrades for raiden including white armor inferno armor commando armor raiden’s mgs4 body and the everpopular cyborg ninja
cutscenes option added to the main menu play any and all cutscenes
codecs option added to the main menu play all and any codec conversation scenes
menu option added to the chapter menu enabling user to play only the boss battles
graphic options added to the options menu modify resolution antialiasing etc
there is an option reading zangeki that will modify the amount of cuts you can make",14000,492,4200,2000,2
23,Grand Theft Auto V,2013-09-17,"['Rockstar North', 'Rockstar Games']",Rockstar North, Rockstar Games,3.8,2100,"['Adventure', 'Shooter']",Adventure,Shooter,Not applicable,Not applicable,Not applicable,Not applicable,grand theft auto v is a vast open world game set in los santos a sprawling sunsoaked metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality tv the game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters playing all sides of the game’s interwoven story,30000,829,3200,664,2
24,Cyberpunk 2077,2020-12-09,['CD Projekt RED'],CD Projekt RED,Not applicable,3.3,1500,"['Adventure', 'RPG', 'Shooter']",Adventure,RPG,Shooter,Not applicable,Not applicable,Not applicable,cyberpunk 2077 is an openworld actionadventure story set in night city a megalopolis obsessed with power glamour and body modification you play as v a mercenary outlaw going after a oneofakind implant that is the key to immortality you can customize your character’s cyberware skillset and playstyle and explore a vast city where the choices you make shape the story and the world around you,13000,1500,4700,2900,1
25,God of War Ragnarök,2022-11-09,"['Sony Interactive Entertainment', 'SIE Santa Monica Studio']",Sony Interactive Entertainment, SIE Santa Monica Studio,4.4,1700,"['Adventure', 'Brawler']",Adventure,Brawler,Not applicable,Not applicable,Not applicable,Not applicable,god of war ragnarök is the ninth installment in the god of war series and the sequel to 2018s god of war continuing with the norse mythology theme the game is set in ancient norway and feature series protagonists kratos the former greek god of war and his young son atreus the game is expected to kick off the events of ragnarök where kratos and atreus must journey to each of the nine realms in search of answers as they prepare for the prophesied battle that will end the world,5300,801,2000,3300,2
26,Xenoblade Chronicles 3,2022-07-29,"['Monolith Soft', 'Nintendo']",Monolith Soft, Nintendo,4.4,1400,"['Adventure', 'RPG']",Adventure,RPG,Not applicable,Not applicable,Not applicable,Not applicable,a vast world awaits in xenoblade chronicles 3 the next game in the acclaimed rpg series from developer monolithsoft players will step into the roles of protagonists noah and mio amid turmoil between the hostile nations of keves and agnus six characters hailing from those nations will take part in a grand tale with “life” as its central theme explore a new world that will connect the futures of both xenoblade chronicles and xenoblade chronicles 2,3900,795,2100,2200,2
27,Kirby and the Forgotten Land,2022-03-25,"['HAL Laboratory', 'Nintendo']",HAL Laboratory, Nintendo,4.2,1600,"['Adventure', 'Platform']",Adventure,Platform,Not applicable,Not applicable,Not applicable,Not applicable,join kirby in an unforgettable journey through a mysterious world in a delightful 3d platforming adventure take control of the powerful pink puffball kirby and move around freely in 3d stages as you discover a mysterious world with abandoned structures from a past civilization  like a shopping mall copy enemies’ abilities like sword and ice and use them to attack and explore your surroundings what journey awaits kirby take a deep breath and get ready for an unforgettable adventure,5900,955,2500,3100,2
28,Disco Elysium: The Final Cut,2020-05-01,['ZA/UM'],ZA/UM,Not applicable,4.6,1100,"['Adventure', 'Indie', 'RPG']",Adventure,Indie,RPG,Not applicable,Not applicable,Not applicable,disco elysium the final cut is a groundbreaking role playing game you’re a detective with a unique skill system at your disposal and a whole city to carve your path across interrogate unforgettable characters crack murders or take bribes become a hero or an absolute disaster of a human being the final cut adds full voice acting to the game as well as new quests more characters and fresh explorable areas,6000,1200,5000,2700,1
29,Marvel's Spider-Man,2018-09-07,"['Insomniac Games', 'Sony Interactive Entertainment']",Insomniac Games, Sony Interactive Entertainment,4.1,2500,"['Adventure', 'Brawler']",Adventure,Brawler,Not applicable,Not applicable,Not applicable,Not applicable,starring the world’s most iconic super hero spiderman features the acrobatic abilities improvisation and webslinging that the wallcrawler is famous for while also introducing elements neverbeforeseen in a spiderman game from traversing with parkour and utilizing the environment to new combat and blockbuster set pieces it’s spiderman unlike any you’ve played before,21000,577,2900,2200,2
30,Dark Souls III,2016-03-24,"['Bandai Namco Entertainment', 'FromSoftware']",Bandai Namco Entertainment, FromSoftware,4.2,2400,"['Adventure', 'RPG']",Adventure,RPG,Not applicable,Not applicable,Not applicable,Not applicable,dark souls continues to push the boundaries with the latest ambitious chapter in the criticallyacclaimed and genredefining series prepare yourself and embrace the darkness,19000,851,4300,2200,2
31,NieR Replicant ver.1.22474487139...,2021-04-22,"['Toylogic', 'Square Enix']",Toylogic, Square Enix,4.2,1500,"['Adventure', 'RPG']",Adventure,RPG,Not applicable,Not applicable,Not applicable,Not applicable,nier replicant ver122474487139 is an updated version of nier replicant previously only released in japan discover the oneofakind prequel to the criticallyacclaimed masterpiece nier automata now with a modern upgrade experience masterfully revived visuals a fascinating storyline and more,6700,880,4100,3700,2
32,Super Mario 64,1996-06-23,"['Nintendo', 'Nintendo EAD']",Nintendo, Nintendo EAD,4.1,2600,"['Adventure', 'Platform']",Adventure,Platform,Not applicable,Not applicable,Not applicable,Not applicable,the first three dimensional entry in the mario franchise super mario 64 follows mario as he puts his broadened 3d movement arsenal to use in order to rescue princess peach from the clutches of his arch rival bowser mario has to jump into worldswithinpaintings ornamenting the walls of peachs castle uncover secrets and hidden challenges and collect golden stars as reward for platforming trials,21000,463,2500,775,2
33,Super Smash Bros. Ultimate,2018-12-07,"['Sora', 'Nintendo']",Sora, Nintendo,4.1,2500,"['Fighting', 'Platform']",Fighting,Platform,Not applicable,Not applicable,Not applicable,Not applicable,legendary game worlds and fighters collide in the ultimate showdown—a new entry in the super smash bros series for the nintendo switch system new fighters like inkling from the splatoon series and ridley from the metroid series make their super smash bros series debut alongside every super smash bros fighter in the series…ever faster combat new items new attacks new defensive options and more will keep the battle raging whether you’re at home or on the go,25000,1200,1100,801,2
34,Cuphead,2017-09-29,['Studio MDHR'],Studio MDHR,Not applicable,4.1,1900,"['Arcade', 'Indie', 'Platform', 'Shooter']",Arcade,Indie,Platform,Shooter,Not applicable,Not applicable,cuphead is a classic run and gun action game heavily focused on boss battles inspired by cartoons of the 1930s the visuals and audio are painstakingly created with the same techniques of the era ie traditional cel animation hand drawn  hand inked watercolor backgrounds and original jazz recordings play as cuphead or mugman in single player or coop as you traverse strange worlds acquire new weapons learn powerful super moves and discover hidden secrets cuphead is all action all the time,18000,1200,4500,2600,1
35,Sekiro: Shadows Die Twice,2019-03-22,"['FromSoftware', 'Activision']",FromSoftware, Activision,4.4,2300,"['Adventure', 'Brawler']",Adventure,Brawler,Not applicable,Not applicable,Not applicable,Not applicable,"enter a dark and brutal new gameplay experience from the creators of bloodborne and the dark souls series sekiro shadows die twice is an intense thirdperson actionadventure set against the bloody backdrop of 14thcentury japan step into the role of a disgraced warrior brought back from the brink of death whose mission is to rescue his master and exact revenge on his arch nemesis
take revenge restore your honor kill ingeniously",14000,919,4800,3400,2
36,Final Fantasy VII,1997-01-31,"['Square', 'Eidos Interactive']",Square, Eidos Interactive,4.2,2900,"['Adventure', 'RPG', 'Turn-Based-Strategy']",Adventure,RPG,Turn-Based-Strategy,Not applicable,Not applicable,Not applicable,"final fantasy vii is the seventh main installment in the final fantasy series and was the first title to feature threedimensional graphics prerendered backgrounds and numerous full motion videos
the gameplay is a departure from previous entries in the series in many ways though it retains the active time battle pseudoturn based menu command system ffvii features three party members rather than four the materia system allows the player to customize each party members abilities to their liking and the limit system grants them unique combat skills
though minigames had been a recurring feature ffvii introduces numerous new ones many of them playable in the theme park gold saucer varying from racing with chocobos to snowboarding",15000,1100,5000,1500,2
37,Persona 4 Golden,2012-06-15,"['NIS America', 'Atlus']",NIS America, Atlus,4.2,1900,"['Adventure', 'RPG', 'Simulator', 'Visual-Novel']",Adventure,RPG,Simulator,Visual-Novel,Not applicable,Not applicable,an enhanced rerelease of shin megami tensei persona 4 2008 featuring qualityoflife improvements gameplay enhancements new locations balance tweaks online functionality new difficulty options an additional side character storyline and a changed endgame,13000,1500,5200,2200,2
38,Genshin Impact,2020-09-28,"['miHoYo', 'HoYoverse']",miHoYo, HoYoverse,2.6,653,"['Adventure', 'RPG']",Adventure,RPG,Not applicable,Not applicable,Not applicable,Not applicable,genshin impact is an openworld action rpg where you embark on a journey across teyvat to find your lost sibling and seek answers from the seven the gods of each element explore this wondrous world join forces with a diverse range of characters and unravel the countless mysteries that teyvat holds,14000,2700,1300,280,2
39,Signalis,2022-10-27,"['rose-engine', 'Humble Games']",rose-engine, Humble Games,4.2,820,"['Adventure', 'Indie']",Adventure,Indie,Not applicable,Not applicable,Not applicable,Not applicable,signalis is a classic survival horror experience with a unique aesthetic full of melancholic mystery investigate a dark secret solve puzzles fight off nightmarish creatures and navigate dystopian surreal retrotech worlds as elster a technician replika searching for her lost dreams,2200,419,1900,2200,2
40,Resident Evil Village,2021-05-06,['Capcom'],Capcom,Not applicable,3.9,1800,"['Adventure', 'Shooter']",Adventure,Shooter,Not applicable,Not applicable,Not applicable,Not applicable,resident evil village is a first person survival horror and the sequel to resident evil 7 biohazard the game maintains elements from previous resident evil games with players having to scavenge environments for items and manage their resources however it adds more actionoriented gameplay with higher enemy counts and a greater emphasis on combat,9900,333,2800,2800,1
41,Super Mario Galaxy,2007-11-01,"['Nintendo EAD', 'Nintendo']",Nintendo EAD, Nintendo,4.3,2700,"['Adventure', 'Platform']",Adventure,Platform,Not applicable,Not applicable,Not applicable,Not applicable,a 3d platformer and first wii entry in the super mario franchise super mario galaxy sees mario jump across planets and galaxies with varying items enemies geographies and gravity mechanics in order to reach his enemy bowser who has attacked the mushroom kingdom and hijacked princess peachs castle with her inside,21000,468,3100,1200,2
42,Fallout: New Vegas,2010-10-19,"['Obsidian Entertainment', 'Bandai Namco Entertainment']",Obsidian Entertainment, Bandai Namco Entertainment,4.3,2000,"['RPG', 'Shooter']",RPG,Shooter,Not applicable,Not applicable,Not applicable,Not applicable,in this firstperson western rpg the player takes on the role of courier 6 barely surviving after being robbed of their cargo shot and put into a shallow grave by a new vegas mob boss the courier sets out to track down their robbers and retrieve their cargo and winds up getting tangled in the complex ideological and socioeconomic web of the many factions and settlements of postnuclear nevada,16000,756,5000,1400,2
43,Outer Wilds,2019-05-28,"['Mobius Digital', 'Annapurna Interactive']",Mobius Digital, Annapurna Interactive,4.6,1800,"['Adventure', 'Indie', 'Puzzle', 'Simulator']",Adventure,Indie,Puzzle,Simulator,Not applicable,Not applicable,outer wilds is a criticallyacclaimed and awardwinning open world mystery about a solar system trapped in an endless time loop the newest member of the space program in a small village on the planet timber hearth the player navigates a space shuttle and travels across their solar system to get to the bottom of its mysteries by exploring the cosmos and gathering the knowledge hidden within each of the systems planets left behind by another civilization in the distant past,7700,661,4800,3100,2
44,Resident Evil 2,2019-01-25,"['Capcom', 'Capcom Development Division 1']",Capcom, Capcom Development Division 1,4.3,2500,"['Adventure', 'Shooter']",Adventure,Shooter,Not applicable,Not applicable,Not applicable,Not applicable,resident evil 2 is a remake of 1998s resident evil 2 the game was not developed with the intent of improving the original but rather a reimagining of the original story with redesigned maps characters and story elements gameplay mechanics are more similar to resident evil 7 biohazard though with the use of an overtheshoulder camera,15000,585,3600,1900,2
45,Doom,2016-05-12,"['id Software', 'Bethesda Softworks']",id Software, Bethesda Softworks,4.0,1800,['Shooter'],Shooter,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,developed by id software the studio that pioneered the firstperson shooter genre and created multiplayer deathmatch doom returns as a brutally fun and challenging modernday shooter experience relentless demons impossibly destructive guns and fast fluid movement provide the foundation for intense firstperson combat – whether you’re obliterating demon hordes through the depths of hell in the singleplayer campaign or competing against your friends in numerous multiplayer modes expand your gameplay experience using doom snapmap game editor to easily create play and share your content with the world,18000,541,4000,1400,2
46,Shin Megami Tensei V,2021-11-12,"['Atlus', 'Sega']",Atlus, Sega,3.8,1100,"['Adventure', 'RPG', 'Turn-Based-Strategy']",Adventure,RPG,Turn-Based-Strategy,Not applicable,Not applicable,Not applicable,shin megami tensei v the fifth numbered game of the shin megami tensei series is a roleplaying video game set in modernday tokyo it will feature returning gameplay elements from previous games such as the ability to fuse demons along with new mechanics,4100,1000,3400,2600,2
47,Bayonetta,2009-10-29,"['Nex Entertainment', 'Sega']",Nex Entertainment, Sega,3.9,1700,"['Brawler', 'Shooter']",Brawler,Shooter,Not applicable,Not applicable,Not applicable,Not applicable,a member of an ancient witch clan and possessing powers beyond the comprehension of mere mortals bayonetta facesoff against countless angelic enemies many reaching epic proportions in a game of 100 pure unadulterated allout action outlandish finishing moves are performed with balletic grace as bayonetta flows from one fight to another with magnificent overthetop action taking place in stages that are a veritable theme park of exciting attractions bayonetta pushes the limits of the action genre bringing to life its fastpaced dynamic climax combat,13000,614,5000,2300,2
48,Stardew Valley,2016-02-26,"['ConcernedApe', 'Chucklefish Games']",ConcernedApe, Chucklefish Games,4.1,1700,"['Indie', 'RPG', 'Simulator', 'Strategy']",Indie,RPG,Simulator,Strategy,Not applicable,Not applicable,stardew valley is an openended countrylife rpg youâ€™ve inherited your grandfatherâ€™s old farm plot in stardew valley armed with handmedown tools and a few coins you set out to begin your new life can you learn to live off the land and turn these overgrown fields into a thriving home it wonâ€™t be easy ever since joja corporation came to town the old ways of life have all but disappeared the community center once the townâ€™s most vibrant hub of activity now lies in shambles but the valley seems full of opportunity with a little dedication you might just be the one to restore stardew valley to greatness,20000,2000,3600,1100,2
49,The Last of Us Part II,2020-06-19,"['Naughty Dog', 'Sony Interactive Entertainment']",Naughty Dog, Sony Interactive Entertainment,4.1,2500,"['Adventure', 'Shooter']",Adventure,Shooter,Not applicable,Not applicable,Not applicable,Not applicable,the last of us part ii is an actionadventure game set five years after the events of the last of us the player traverses postapocalyptic environments such as buildings and forests to advance the story he can use firearms improvised weapons and stealth to defend against hostile humans and cannibalistic creatures infected by a mutated strain of the cordyceps fungus the game intermittently switches control between ellie and abby and also briefly joel in the opening sequence the nimble nature of the player character introduces platforming elements allowing the player to jump and climb to traverse environments and gain advantages during combat,13000,472,2800,2500,2
50,Silent Hill 2,2001-09-24,"['Team Silent', 'Konami']",Team Silent, Konami,4.5,2200,"['Adventure', 'Puzzle']",Adventure,Puzzle,Not applicable,Not applicable,Not applicable,Not applicable,the second entry in the silent hill franchise silent hill 2 is a narrativefocused thirdperson psychological horror game with exploration and puzzlesolving elements which follows james sunderland a man who receives a letter seemingly sent by his threeyearsdeceased wife mary in which he is beckoned to the fogridden town of silent hill at the same time as numerous other people troubled by their past,8600,282,2900,2100,2
51,The Witcher 3: Wild Hunt,2015-05-19,"['WB Games', 'CD Projekt RED']",WB Games, CD Projekt RED,4.3,2000,"['Adventure', 'RPG']",Adventure,RPG,Not applicable,Not applicable,Not applicable,Not applicable,rpg and sequel to the witcher 2 2011 the witcher 3 follows witcher geralt of rivia as he seeks out his former lover and his young subject while intermingling with the political workings of the wartorn northern kingdoms geralt has to fight monsters and deal with people of all sorts in order to solve complex problems and settle contentious disputes each ranging from the personal to the worldchanging,17000,1200,6100,1600,2
52,Persona 5,2016-09-15,"['Atlus', 'Atlus USA']",Atlus, Atlus USA,4.1,1800,"['Adventure', 'RPG', 'Turn-Based-Strategy']",Adventure,RPG,Turn-Based-Strategy,Not applicable,Not applicable,Not applicable,persona 5 a turnbased jrpg with visualnovel elements follows a high school student with a criminal record for a crime he didnt commit soon he meets several characters who share similar fates to him and discovers a metaphysical realm which allows him and his friends to channel their pentup frustrations into becoming a group of vigilantes reveling in aesthetics and rebellion while fighting corruption,16000,630,2800,1700,2
53,Doom Eternal,2020-03-19,"['Bethesda Softworks', 'id Software']",Bethesda Softworks, id Software,4.2,1900,['Shooter'],Shooter,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,hell’s armies have invaded earth become the slayer in an epic singleplayer campaign to conquer demons across dimensions and stop the final destruction of humanity the only thing they fear is you,12000,738,4600,2400,2
54,The Elder Scrolls V: Skyrim,2011-11-10,"['Bethesda Game Studios', 'Bethesda Softworks']",Bethesda Game Studios, Bethesda Softworks,3.7,1700,"['Adventure', 'RPG']",Adventure,RPG,Not applicable,Not applicable,Not applicable,Not applicable,skyrim reimagines and revolutionizes the openworld fantasy epic bringing to life a complete virtual world open for you to explore any way you choose play any type of character you can imagine and do whatever you want the legendary freedom of choice storytelling and adventure of the elder scrolls is realized like never before,22000,589,3000,1000,2
55,Neon White,2022-06-16,"['Ben Esposito', 'Annapurna Interactive']",Ben Esposito, Annapurna Interactive,4.1,868,"['Indie', 'Platform', 'Shooter', 'Visual-Novel']",Indie,Platform,Shooter,Visual-Novel,Not applicable,Not applicable,neon white is a lightning fast firstperson action game about exterminating demons in heaven you are white an assassin handpicked from hell to compete with other demon slayers for a chance to live permanently in heaven the other assassins seem familiar though… did you know them in a past life,2900,519,1800,2300,2
