job_title_name,job_title_jobtype,job_title_description,search_term
Business Analyst,- Contract,"Required Skills and Experience
1. Required: Experience with Waterfall Methodology – 5 years
2. Required: Experience with writing use cases and requirements documents – 5 years
3. Required: Experience with developing business requirements – 5 years
4. Required: Experience with developing functional requirements – 5 years
5. Required: Experience business process re-engineering – 4 years
6. Highly Desired: Experience in business change management – 3 years
7. Highly Desired: Experience with Team Foundation Server (TFS) – 3 years
Job Type: Contract
Salary: Up to $68.00 per hour
Experience level:
9 years
Schedule:
8 hour shift
Experience:
Waterfall Methodology: 5 years (Preferred)
writing use cases and requirements documents: 5 years (Preferred)
developing business requirements: 6 years (Preferred)
developing functional requirements: 6 years (Preferred)
business process re-engineering: 6 years (Preferred)
business change management: 5 years (Preferred)
Team Foundation Server (TFS): 4 years (Preferred)
Work Location: Remote",businessanalyst 
Business Analyst,- Full-time,"Are you ready for a unique opportunity? Want to join a diverse team that is collaborative and passionate about media? Bring you and your unique talent and skills to Royal Media, an organization that is committed to placing people in the right jobs and creating opportunities for employee engagement and development.
Royal Media is seeking a a collaborative and detail-oriented Analyst to join our team. This position plays a crucial role in supporting our consulting team by providing insightful analysis, conducting research, and generating reports to facilitate informed decision-making and drive business growth. In this role you will report to the Director.
Main Responsibilities:
In collaboration with Director, conducts comprehensive research and analysis of aviation industry trends, market dynamics, and competitor activities.
Engage in collaborative research and data modeling of various aspects related to the aviation industry and market analysis.
Collect, organize, and interpret data from various sources to support the development of strategic recommendations and business plans.
Assist in the preparation of client presentations, reports, and proposals by synthesizing complex information into clear and a concise format.
Deliver client assignments accurately and on time.
Requirements:
BA degree with Major/Concentration in Engineering, Business, Finance, or related field
Minimum of 2 years of experience in research/analysis roles
At least 3 years of experience in the Aerospace or Aviation Industry
Previous experience in data analysis, research, consulting, or a related field
Strong analytical skills with the ability to collect, analyze, and interpret complex datasets
Effective communication, critical thinking, problem-solving, and the ability to work independently and remotely, coupled with exceptional organizational and time management abilities.
Advanced skills in Data Analysis tools (Excel)
Preferred skills in Data Visualization tools (Power Bi)
Solid understanding of aviation industry dynamics, including airlines, airports, and aviation regulations and aircraft economics
Strong presentation skills with the ability to effectively communicate complex information in a clear and concise manner.
Salary Range: $70-85k, potential for annual bonus
About Benefits: The position comes with a salary, health/dental/vision coverage, 401k matching, unlimited paid vacation/personal time, and a pleasant, professional work environment. The company is completely virtual, and we've put in the effort to make sure that, even in a virtual environment, we maintain an engaging and enjoyable work atmosphere. Additionally, we hold companywide events twice a year to foster team collaboration and celebrate accomplishments.
Royal Media (www.royalmedia.com) is an award-winning information company that delivers valuable content through the web, digital periodicals, electronic newsletters, conferences, and custom products. The company was formed in 1995 to provide specialized information and insights to executives around the world, and currently services several fascinating industries, including automotive, energy, finance, and satellites.
EQUAL OPPORTUNITY: We are an equal opportunity employer and comply with all applicable federal, state, and local fair employment practices laws. We strictly prohibit and do not tolerate discrimination against employees, applicants, or any other covered persons because of race, color, sex, pregnancy status, age, national origin or ancestry, ethnicity, religion, creed, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state, or local protected class. This policy applies to all terms and conditions of employment, including, but not limited to, hiring, training, promotion, discipline, compensation, benefits, and termination of employment. We comply with the Americans with Disabilities Act (ADA), as amended by the ADA Amendments Act, and all applicable state or local law.
Job Type: Full-time
Pay: $70,000.00 - $85,000.00 per year
Benefits:
401(k) matching
Dental insurance
Health insurance
Vision insurance
Schedule:
Choose your own hours
Education:
Bachelor's (Required)
Experience:
Analyst: 2 years (Required)
Data visualization: 2 years (Preferred)
Aviation: 3 years (Required)
Work Location: Remote",businessanalyst 
Business Analyst,- Contract,"Job ID : Business Analyst (710755)
Location : Harrisburg, PA (Remote) (Need Local Candidate)
Duration : 6+Month
Direct Client: State of Pennsylvania – DOC
Must Skill Candidate : Waterfall Methodology, TFS
Position Description:
DOC requires the services of a Business Analyst staff augmentation consultant to assist the technical staff in gathering and documenting the system functional and system requirements for new development projects and enhancements to existing applications for DOC and Pennsylvania Parole Board (PPB) users.
DOC IT primarily uses the Waterfall methodology. While we use Agile methodology for tracking project work (sprint planning and our development efforts), the candidate must have skill and expertise in eliciting and documenting requirements in a Waterfall environment. Experience with both waterfall and agile project methodologies is encouraged, Agile is not required.
Specific Duties:
1. Collects, analyzes, and documents business rules, processes, and legislation.
2. Leads business requirements gathering sessions with business and technical resources for complex system development projects.
3. Analyzes legislation or other business documentation (e.g. policies/procedures, RFPs, etc.) to determine necessary IT system changes or changes to business processes required to meet the objectives of an agency initiative.
4. Works with business users to develop and implement improved business processes for their application to an IT system in support of agency program policy.
5. Works with users to develop or enhance system requirements.
6. Prepares or reviews detailed functional specifications for complex IT systems development or enhancement projects to be used by developers for system coding.
7. Participates in the development of detailed functional specifications for highly complex system development and enhancement projects.
8. Prepares use cases or other types of requirements documentation.
9. Assists with system testing.
10. Assists with preparation of system change requests.
11. Assists with the planning and prioritization of system changes.
12. Assist with the creation of training materials.
13. Troubleshoots system, data, or process problems.
14. Works with development and database teams to identify opportunities for data migration and correspondingly documents any necessary business rules.
15. Works with development and database teams to identify opportunities for integration and correspondingly documents any necessary business rules.
16. Prepares mock-ups to provide visual aids for requirements gathering.
17. Prepares process flows to document for As Is and To Be business processes.
18. Performs basic SQL queries (as needed) for analysis purposes.
19. Performs related work as required.
Required Skills and Experience
1. Required: Experience with Waterfall Methodology – 5 years
2. Required: Experience with writing use cases and requirements documents – 5 years
3. Required: Experience with developing business requirements – 5 years
4. Required: Experience with developing functional requirements – 5 years
5. Required: Experience business process re-engineering – 4 years
6. Highly Desired: Experience in business change management – 3 years
7. Highly Desired: Experience with Team Foundation Server (TFS) – 3 years
SkillRequired / DesiredAmountof ExperienceExperience with Waterfall MethodologyRequired5YearsExperience with writing use cases and requirements documentsRequired5YearsExperience with developing business requirementsRequired5YearsExperience with developing functional requirementsRequired5YearsExperience business process re-engineeringRequired4YearsExperience in business change managementHighly desired3YearsExperience with Team Foundation Server (TFS)Highly desired3Years
Job Type: Contract
Pay: $55.00 - $63.00 per hour
Benefits:
Paid time off
Parental leave
Professional development assistance
Relocation assistance
Experience level:
7 years
8 years
9 years
Schedule:
8 hour shift
Work Location: Remote",businessanalyst 
Remote Oracle EBS Business Analyst,Full-time,"Job Description
BAE Systems is searching for an Oracle eBusiness Suite Techno/Functional Analyst with knowledge of the Oracle EBS Projects module to join our ERP support team. Working with a Senior Analyst you will provide project & contracts support, troubleshoot defects, and resolve issues using various tools such as internal documentation, MOS Knowledgebase, and interaction with Oracle Support. Create ad-hoc scripts to analyze data and support operational requests.
Coordination of projects to implement custom solutions, application changes, and Oracle patches/upgrades.
Present alternative requirements for solution design and suggest improvements in business processes.
Required Education, Experience, & Skills
BS Degree with/6 Years Oracle e-Business Financial experience
Knowledge of Oracle EBS Projects module in a project-oriented environment including project billing, costing, project foundation, project contracts, accounts receivable, and earned value management processes.
Project accounting concepts and responding to audit /compliance requests.
Oracle e-Business Suite technical tools including TOAD, SQL, PL/SQL, Personalization.
Preferred Education, Experience, & Skills
My Oracle Support, Forms, Reports, STAT-ACM.
PMP, ITIL Certification a plus.
About BAE Systems, Inc.
BAE Systems, Inc. is the U.S. subsidiary of BAE Systems plc, an international defense, aerospace and security company which delivers a full range of products and services for air, land and naval forces, as well as advanced electronics, security, information technology solutions and customer support services. Improving the future and protecting lives is an ambitious mission, but it’s what we do at BAE Systems. Working here means using your passion and ingenuity where it counts – defending national security with breakthrough technology, superior products, and intelligence solutions. As you develop the latest technology and defend national security, you will continually hone your skills on a team—making a big impact on a global scale. At BAE Systems, you’ll find a rewarding career that truly makes a difference. At BAE Systems, we celebrate the array of skills, experiences, and perspectives our employees bring to the table. For us, differences are a source of strength. We’re laser-focused on high performance, and we work hard every day to nurture an inclusive culture where all employees can innovate and thrive. Here, you will not only build your career, but you will also enjoy work-life balance, uncover new experiences, and collaborate with passionate colleagues.",businessanalyst 
IT Business Analyst,- Contract,"Our Big Four client is seeking a highly skilled and proactive Business Analyst to join their technology team REMOTELY. The candidate should be able to perform job duties as expected with a self-starter mentality and demonstrate the ability to work independently and take ownership of their responsibilities. They should have a proven track record of successfully delivering projects and driving initiatives forward without constant supervision.
NOTE: US Citizen or Green Card holder only. No C2C arrangements at this time. Candidates must also sit in EST or CST time zones to be considered.
Compensation: $70-75/hr
Requirements:
7-10 years of experience as a business analyst on application and development projects, working hand-in-hand with product owners in an Agile/SAFe environment
Previous experience collaborating with and acting as a liaison to external vendors/offshore teams
Previous experience using both Azure DevOps (ADO) and Jira
Medium-advanced experience in Microsoft Office/Google Suite products
Exceptional communication skills, both written and verbal, and have the ability to clearly convey technical concepts to both technical and non-technical team members
Proactive problem-solver, anticipating challenges, and proposing innovative solutions
Possess strong documentation and presentation skills, ensuring clear and concise communication of complex information
Possess a deep understanding of business processes, objectives, and strategies
Strong stakeholder management experience
Responsibilities:
Analyze complex systems in an AGILE/SAFe delivery model, bridging the gap between technology and business objectives, and providing valuable insights and recommendations
Collaborate with various stakeholders to gather requirements, prioritize and analyze them, develop business/technical flows, and translate them into actionable solutions
Align technology solutions with client’s goals and effectively communicate how technology can drive business value
#LI-MK1
#EP
#LI-Remote",businessanalyst 
Business Analyst,- Contract,"Job Title: IT - Business Analyst
Job Description: The Business Analyst is responsible for defining business needs, translating those needs into system requirements and clearly defining the scope of the solution. The incumbent will create standards, policies, processes and procedures. The incumbent will also conduct business process analysis/design, needs assessments and cost benefit analysis related to the impact of the business.
Primary Responsibilities
Works closely with the users and product owner to understand needs and expectations.
Writes detailed business requirements and functional specifications for Agile development teams.
Manages the approval process for the requirements/stories.
Become subject matter expert in the assigned company application portfolio. Understand the underlying business logic and processes to help design solutions to new requirements and solving business problems.
Ensures issues are identified, tracked, reported and resolved in a timely manner. Works with customers and application developers to identify required changes. Assists in delivery tracking and adherence to committed timelines.
Evaluates and participates in solution alternatives with application development teams while ensuring business solutions meet corporate standards.
Negotiates technical and non-technical solutions that satisfy the business users and conform to the technical architecture.
Evaluate and make recommendations to improve organizational effectiveness and that may reduce cost.
Work with the Quality Assurance team to derive test strategy, in creating and reviewing test cases and support functional testing.
Coordinate user acceptance testing (UAT) including assisting with test strategy, reviewing user acceptance test cases and environment/data setup.
Establish and maintain a strong partnership with business partners, company management, technical staff and end users. Lead regular communication and user group meeting with business partners.
Gathers, consolidates and refines data to publish executive, operational, and management level reporting and analysis.
Any combination of relevant education and experience and/or related professional designations/certifications in this field is highly desirable.
Education
Minimum Required: BS/BA degree or equivalent business and technical experience
Experience
3-5 years of experience in Business Analysis and Project Management of Financial/Banking applications Preferred Essential Skills • Agile/Scrum requirements and project management using a tool such as JIRA.
Intermediate to advanced skills in Word, Excel, and PowerPoint.
• Ability to create flowcharts, sequence diagrams and UI mockups.
Job Type: Contract
Pay: From $50.00 per hour
Experience level:
5 years
Schedule:
Monday to Friday
Application Question(s):
Can you work on W2?
Experience:
Business analysis: 3 years (Required)
Mobile Application development using Android & iOS: 3 years (Required)
Finance or Banking industry as a Business Analyst: 1 year (Required)
Work Location: Remote",businessanalyst 
Agile Business Analyst,- Full-time,"Overview:
Compensation: $59,000 - $85,000 based on experience and credentials
Schedule: Monday through Friday 8:00 AM – 5:00 PM
Remote opportunity candidate must reside in Florida
The Agile Business Analyst leverages their expertise and skills to contribute to delivering the highest value in the shortest time and drive the execution of strategic goals. Key responsibilities include collaborating with the Portfolio Manager, Product Owner, stakeholders, and technical teams to determine the most effective way to implement the enterprise initiatives using available resources and minimizing costs. An ideal candidate is a motivated individual with a passion for problem-solving by tying tactical outputs to complex, large-scale objectives.
Suncoast Credit Union is consistently chosen as a Top Workplace because its employees genuinely # LOVEWORK! Employees flourish in an inclusive culture celebrating growth and prioritizing the community. Chartered in 1934, Suncoast has never furloughed any employees. To attract the highest quality candidates, Suncoast Credit Union offers a comprehensive benefits package including, but not limited to:
* COMPETITIVE MARKET SALARIES * MEDICAL COVERAGE * PAID TIME OFF * 11 PAID HOLIDAYS * PARENTAL LEAVE * RETIREMENT PLANNING * DEGREE ASSISTANCE * BONUS OPTIONS * ACCESS TO OVER 4,000 GYMS * FREE IDENTITY THEFT PROTECTION * PAID VOLUNTEER HOURS * LEGAL ASSISTANCE * MENTAL HEALTH RESOURCES * EMPLOYEE LOAN DISCOUNTS *
Get the benefits you deserve from an organization that cares about your well-being, inside and outside the workplace. Join a team supporting a healthy body, healthy mind, and healthy work-life balance!
Responsibilities:
Utilize agile principles and philosophies to analyze, define, and document business requirements that deliver solutions to meet stakeholder needs
Write user stories following specific acceptance criteria to express the business value and support the satisfaction of stakeholders and end-users
Serve as a key contributor to product go-to-market process, user testing, and additional product decisions
Collaborate with stakeholders and product teams to break down large epic stories and features into clear user stories approved by members of the execution team
Support the Product Owner as a Business Advisor for backlog prioritization, feature sequencing and organization, and user acceptance testing
Provide support to the Portfolio Manager for upfront planning including current state analyses and forward-thinking relating to the product, process, and end-user experience
Coach the project team and provide efficient communication routes
Implement a department and organization-wide perspective to decision-making by aligning with department, division, and credit union goals
Act as a key role in decision-making and overall understanding of solutions
Champion innovative ideas through inquiries to find the root cause and taking risks
Maintain an understanding of product specification and behavioral psychology to deliver consumer-centric value-added outcomes
Apply research and data analytics to develop authentic personas used from conceptual ideation through design and user experience
Maintain a fundamental understanding of end-to-end customer experience integration and dependencies
Present documentation and ideas to project teams and stakeholders
Identify risks and recommend mitigation approaches
Utilize constructive feedback to optimize UX deliverables
Maintain knowledge and understanding of current trends, laws, and issues affecting the area of expertise
Attend educational events to increase professional knowledge
Qualifications:
Bachelor’s degree in a business-related field (A comparable combination of work experience and training may be substituted for education requirements)
3+ years of experience in business process analysis or project management, preferably with a financial institution
Knowledge of the scrum process
Proven analytical skills with the ability to take an investigative approach to understand, visualize, and analyze a problem to find a solution
Ability to seek, form, and drive process improvements across technical and business teams
Excellent business and technical knowledge of various products and applications (key features, functionalities, architecture, user groups, etc)
Strong knowledge of the SDLC (software development life cycle)
Knowledge and skills to accurately assess the business value of individual business requests through the lens of the user experience
Ability to take initiative on abstract ideas
Proficient with Microsoft Visual Studios, Jive, or other Enterprise Project Management Software
Basic understanding of user-centered design (UCD) to aid in usability and accessibility analysis of applications and empirical analysis
Ability to prioritize tasks, deal effectively with competing and changing priorities to meet deadlines
Accurate, detail-oriented, and organized with task management
Excellent written, verbal, and interpersonal communication skills to interact effectively with members, staff, vendors, and government regulators
Ability to influence others regarding policies, practices, and procedures",businessanalyst 
Business Analyst,"- Full-time, Contract","Adroitts is a fast-growing IT solutions company that helps businesses adapt and grow in a continuously evolving market. Our tailor-made technological solutions are perfectly aligned to our client’s business goals and objectives. we strive to be a long-term trusted and reliable partner for our customers organization to help overcome IT challenges. Our solutions, methodologies and implementations are designed with customer centric focus and customers ROI. We pride ourselves in our employees feeling welcomed, valued, and involved.
We are seeking a Business Analystwith 8 to 13 years of experience. Please find the JD below,
Responsibilities
Develop “as-is” and “to-be” process workflow diagrams
Plan, prepare, and interview stakeholders to elicit user requirements and system functionality
Develop wire-frames to assist with requirements development, system design and development
Document clear, concise, and unambiguous user requirements and system functionality so that they meet the stakeholder needs
Maintain requirements traceability across the user and functional requirements to the system design and test cases
Communicate and clarify requirements to development team
Maintain backlog of requirements, change requests, and bugs
Develop, review, and execute test scripts
Test the software to ensure the stakeholder needs are met
Support computer system validation activities
Provide operational support
Requirements
Bachelor’s degree in Computer Sciences, Life Sciences, or Biology, or equivalent experience
Experience working in healthcare informatics
5+ years of experience in requirements definition for Web-based applications
Experience using tools and techniques for capturing and documenting requirements (including Visio)
Understanding of the software development life cycle
Facilitation, planning and organizational skills
Excellent verbal and written communications skills to facilitate knowledge acquisition, business modeling with both operational and managerial staff
Preferred Education and/or Experience
Experience in Agile Scrum
Experience working with application lifecycle management tools such as Azure DevOps
Knowledge in software quality assurance and industry standards and best practices
We are looking forward to hearing from you!
Best,
adroitts
Job Types: Full-time, Contract
Pay: $50.00 - $55.00 per hour
Experience level:
9 years
Schedule:
8 hour shift
Experience:
Business analysis: 6 years (Required)
Azure: 2 years (Required)
Health care domain: 3 years (Required)
Work Location: Remote",businessanalyst 
Financial Systems Analyst,- Full-time,"Financial Systems Analyst / Financial Analyst
Description:
This position is responsible for assisting in building, maintaining and enhancing the financial system, Oracle Planning and Budgeting Cloud Service (PBCS), used for reporting/budgeting/forecasting.
This position is also responsible for ad-hoc reporting/ analysis to ensure that Crash Champions makes sound financial decisions. As a Financial Analyst, your work, whether it's modeling business scenarios or tracking performance metrics, is used by our leaders to make strategic company decisions. This role requires working on multiple projects at a time and focusing on the details while also finding creative ways to tackle big picture challenges.
Position Responsibilities:
Performs application programming activities including, webform building, testing, debugging, documenting, and maintaining/modifying/creating calculation scripts.
Involved in troubleshooting issues as and when arisen and support during month-end reporting activities
Technical/functional support for all PBCS interfacing systems.
Preparation and maintenance of documents for system design, data flow, procedures, and general information.
PBCS maintenance, including hierarchy updates, data loading and data validation
Maintains and updates user security as needed
Leads trainings as necessary for new end users on how to access financials reports via Smart View
Work closely with FP&A and Accounting teams to develop reports, in both Smart View and Financial Reporting Studio, based on business requirements.
Assist Director with ad-hoc financial analysis requests, modeling and schedules; including P&L, balance sheet and cash flow for both internal and external audiences
Assist in activities relating to the annual budget and quarterly forecasts in PBCS
Lead efforts from FP&A related to quarterly operational business re-alignments, as it relates to PBCS modifications
Skills:
Strong written and verbal communication, interpersonal, and customer-service skills
Strong proficiency in mathematics and applied sciences
Experience in documenting functional and technical design
Experience in PBCS and Smart View (or comparable multi-dimensional reporting systems)
Experience in a Finance department preferred, but not required
Qualifications:
Bachelor’s degree required; MIS/Computer Science/Finance/Accounting or related field preferred
2+ years finance, financial planning and analysis, or accounting experience
Job Type: Full-time
Pay: Up to $120,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Weekend availability
Work Location: Remote",systemsanalyst 
Oracle Programmer – Full-Time,Full-time,"Oracle Programmer – Full-Time
Are you a talented developer seeking a rewarding position with a growing company? Do you possess expertise in Oracle database procedures and have a knack for converting high-volume data into various applications? Are you known for your analytical mindset, dependability, and attention to detail? If you answered ""yes"" to these questions, we want to hear from you! Please submit your resume today.
Benefit Allocation Systems, LLC (“BAS”) is actively searching for an experienced Oracle Programmerto join our Programming Team. As an Oracle Programmer, you will play a crucial role in the programming & development of our database systems.
Why join our team at BAS? We offer a comprehensive benefits package, including fully-paid health insurance, flexible spending accounts, a 401(k) plan with a fully-vested matching contribution, generous PTO, time off for all federal holidays, and employer-provided life and disability coverage. Additionally, we provide state-of-the-art technologies for your laptop, phone, and other mission-critical equipment to ensure seamless operations and eliminate common frustrations associated with inadequate employer support. And of course, you'll have the opportunity to collaborate with an awesome team of coworkers.
This position requires some in-office work at our King of Prussia office, as needed. Our standard work hours are Monday to Friday, 8:30 am to 5:00 pm.
About BAS: BAS is a leading provider of Software as a Service employee benefit administrative solutions for employers. Our flagship product, MyEnroll360, offers clients a secure online system for enrolling and managing employee benefit plans. MyEnroll360 facilitates seamless communication between clients and BAS to ensure efficient administration of employer-provided insurance benefits.
Main Duties and Responsibilities: As a Programmer on our team, you will primarily focus on Oracle database procedures, including data extraction and conversion into various formats such as HIPAA 834 and other data trading formats. In addition, you will be responsible for developing and maintaining database structures to ensure stability, reliability, and optimal performance.
Your key responsibilities will include:
Extracting data from Oracle database into insurance carrier formats
Writing applications to interface with Oracle 19c database and developing high-quality Oracle 19c database solutions
Writing Oracle PL/SQL procedures and demonstrating advanced development capabilities with C#
Developing, implementing, and optimizing tables, views, stored procedures, and functions using PL/SQL and JSON
Writing, documenting, reviewing, and testing code while providing peer feedback and reports
Designing tables, stored procedures, views, triggers, indices, and functions
Analyzing existing SQL queries for performance improvements
Developing procedures and scripts for data migration
Maintaining data quality and ensuring database security
Analyzing, designing, integrating, and migrating data using Redgate
Performing SQL optimizations and data auditing
Mastering data management techniques
Supporting database administration tasks as required by the IT team
Collaborating effectively with development and EDI teams
Characteristics: To thrive in this role, you should possess the following characteristics:
Patience and a friendly demeanor
Attention to detail
Strong organizational skills
Flexibility to adapt to changing priorities
Ability to remain calm under pressure
Strong multitasking abilities
Quick learner
Active listener
Positive attitude
Independent worker
Skills and Qualifications: To qualify for this position, you should possess the following skills and qualifications:
Strong technical skills
Advanced proficiency in writing PL/SQL procedures and functions
Advanced capabilities with C#
Advanced SQL development expertise
Experience tuning SQL queries for high-volume data extraction
Excellent time management, organizational, and follow-through skills
Proven ability to respond quickly to changing needs
Proficiency in operating multiple computer applications and windows simultaneously
Strong multitasking abilities
Ability to translate business requirements into technical specifications
Ability to cooperate, work, and communicate effectively with coworkers and supervisors
Ability to work at a fast pace while maintaining high-quality results
Ability to maintain confidentiality, treat others with respect, and uphold company values
Requirements:
Bachelor's degree in Computer Science, Computer Information Systems, or a related field
Minimum of 4 years of programming employment experience
Educational background in physics, mathematics, computer science, or other quantitative-based discipline preferred
Proficient understanding of backend languages such as C#, Angular, React, Node.js
Proficient understanding of databases (e.g., Oracle, MySQL)
Proficient understanding of cross-browser compatibility issues and resolution strategies
Familiarity with code versioning tools such as GitHub and NPM
Availability for off-hours work as needed
Ability to sit or stand in front of a computer for extended periods of time
Private and secure remote work capabilities
Commitment to maintaining utmost confidentiality and privacy as required by regulations and company policy
Punctuality and professional behavior
Benefit Allocation Systems, LLC is an Affirmative Action and Equal Opportunity Employer/Veterans/Disabled. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status. Discrimination based on disability will not be tolerated. For questions, please contact the BAS Affirmative Action Officer at 800-945-5513.
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Referral program
Experience level:
3 years
Schedule:
Monday to Friday
Work Location: Remote",systemsanalyst 
IT Systems/Support Analyst,- Contract,"Provides day-to-day technical support to employees for network infrastructure and internal desktop systems software and hardware.
Installs, configures and troubleshoots desktop systems, workstations, servers and network issues in a heterogeneous environment.
Maintains passwords, data integrity and file system security for the desktop environment.
Communicates highly technical information to both technical and nontechnical personnel.
Recommends hardware and software solutions, including new acquisitions and upgrades.
May participate in development of information technology and infrastructure projects.
May conduct training programs designed to educate an organization's computer users about basic and specialized applications.
Previous L1/L2 support experience.
Communication skills given possible interactions with customers.
Doe this position require to sit onsite?
Remote is ok here however standard work hours align with PST time zone: 8am-5pm or 9am-6pm PST
Skills
Understand the importance of asset inventory and how to maintain an organized inventory.
Mobile device experience working for a Wireless company.
Ability to see mobile device spend/usage trends and offer recommendations.
Keen to attention to detail.
Excel at clearly documenting your findings and providing updates to management, the team, and end users.
Understand that consistency and an adherence to best practices help any organization scale. High level of professionalism and passion toward what you do.
Initiative and self-drive are part of your everyday work ethic.
Experience with Microsoft Office.
Job Type: Contract
Salary: $60.00 - $61.00 per hour
Benefits:
Parental leave
Schedule:
8 hour shift
Experience:
L1: 2 years (Preferred)
Work Location: Remote",systemsanalyst 
Business Intelligence Programmer Analyst (Cognos Analytics),,"About the Company
IPS Corporation is a global, market-leading provider of solvent cements, adhesives and specialized plumbing products. Founded in 1954 in Los Angeles, CA, IPS began by producing clear cements for laminating acrylic sheet for aircraft canopies. Today, IPS, with its three operating companies, has eight manufacturing plants and nine distribution centers supporting sales to a diverse set of end markets in 85 countries.
About the Role
In this remote role, the Business Intelligence (BI) Programming Analyst will work closely with cross-functional business teams to design and develop BI and Analytics capabilities including ad-hoc reports, dashboards, and scorecards. In addition you'll be responsible for monitoring and supporting the daily operations of the Cognos infrastructure. Having Cognos Analytics experience is required in this role. Although travel is minimal, there will be approximately 10% travel in this role reporting to the Director, IT Applications Support and Development.
What You'll Be Doing
Work collaboratively with Finance, Distribution, Manufacturing, Commercial and other business functions, as well as business analysts to gather requirements and design business operational reports in support of various applications and business areas
Author complex reports and dashboards utilizing IBM Cognos 10\11 studios and other reporting solutions
Serve as a technical resource supporting all business intelligence, data warehouse, ETL and reporting activities and tools
Drive relational and dimensional modeling best practices
Coordinate BI initiatives between business users and the IT group
Expand & enhance data and analytic capabilities, continue to improve processes, explore/adopt new tools, drive automation and scripting
Lead and participate in medium to large projects and confirm that the application/reporting requirements are established and in operation within the project schedule and budget
Follow all prescribed software development life cycle and project management processes and procedures. Provide solutions for process improvement of IT processes and procedures
Collaborate with other IT team members on the integration of all systems and reporting tools
What You Need To Have
Required
3 to 5 years of experience delivering BI solutions and reports with IBM Cognos (Cognos experience is required)
Experience with data warehousing/database concepts and knowledge of relational and OLAP concepts and methodologies
Working knowledge of other ETL related languages or tools (SSIS preferred)
Expertise with SQL
Strong oral and written communications skills
Ability to develop and communicate training packages for knowledge transfer
Preferred
Minimum of three (3) years of experience with database management (SQL Server preferred)
Working knowledge of JD Edwards Enterprise One ERP
Experience with OneStream, and/or Insight Hubble
What We Offer
We're a rapidly growing midsized company with a customer-centric mentality operating fast and lean. We think big, embrace problem solving, and believe our proven business system gives us a competitive edge in the markets we play. Through experience in this role, mentoring and via formal instruction, we will grow your career and develop you based off your strengths and interests. A career with IPS Corporation will push you and challenge you, providing growth opportunities and the prospects to advance your career. If you are a driven performer, you will work with committed, like-minded people, giving you the support to reach your full potential.
Competitive Compensation Package
Insurance Benefits - Medical (Aetna), Dental (Delta Dental), Vision (Aetna Vision)
Health Savings Account (HSA) and Flexible Spending Account (FSA)
Voluntary Benefits - Critical Illness, Hospital Indemnity, Accident
Basic Life insurance with dependent coverage optional
401(k) with Company Match
Vacation and Sick Leave
Short term & Long Term disability
Tuition assistance program
Employee assistance program
Professional Development Opportunities",systemsanalyst 
Clinical Application Specialist / SAS Programmer,"- Full-time, Contract","CLINICAL APPLICATION SPECIALIST / SAS PROGRAMMER
Remote.
Pay ranges between $65.66 - $83.20 per hour.
Required Skills:
Preferably MS in Statistics, Computer Science or a related field or BS in Statistics, Math, Computer Science, or a STEM related field with relevant experience.
8+ yrs of experience in clinical trial data analysis using SAS and Enterprise Guide.
Deep knowledge of CDISC Standards and solid ADaM programming experience.
Experience in leading compound level data integration efforts to create pooled ADAM datasets by extracting data from multiple studies, completed and ongoing across indications.
Experience in leading/supporting ISS/ISE ADaM programming and submissions.
Experience in supporting IB, DSUR and Annual Safety Reporting deliverables.
Ability to quickly learn internal macros, processes, and programming environment.
Team player with excellent communication skills and experience working with stat programmers, statisticians, data management personnel and Pharmacovigilance stakeholders.
This 12+month position starts ASAP.
ALPHA'S REQUIREMENT #23-01141
MUST BE ELIGIBLE TO WORK IN THE U.S. AS AN HOURLY W2 EMPLOYEE
Job Types: Full-time, Contract
Pay: $65.66 - $83.20 per hour
Benefits:
401(k)
Dental insurance
Health insurance
Health savings account
Referral program
Vision insurance
Schedule:
Monday to Friday
Work Location: Remote",systemsanalyst 
